Movie,Year,Review_link,full_link
79) Captain America: Civil War,<strong>2016</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/tom-holland/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/tom-holland/
78) Oldboy,<strong>2003</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/chan-wook-park/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/chan-wook-park/
77) Toy Story,<strong>1995</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/toy-story-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/toy-story-review/
76) A Clockwork Orange,<strong>1971</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/stanley-kubrick/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/stanley-kubrick/
75) Fargo,<strong>1996</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/joel-coen/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/joel-coen/
74) Mulholland Dr.,<strong>2001</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/david-lynch/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/david-lynch/
73) Seven Samurai,<strong>1954</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/magnificent-seven-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/magnificent-seven-review/
72) Rear Window,<strong>1954</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/james-stewart/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/james-stewart/
71) Hot Fuzz,<strong>2007</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/bad-boys-2-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/bad-boys-2-review/
70) The Lion King,<strong>1994</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/toy-story-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/toy-story-review/
69) Singin' In The Rain,<strong>1952</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/gene-kelly/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/gene-kelly/
68) Ghostbusters,<strong>1984</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/ghostbusters-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/ghostbusters-review/
67) Memento,<strong>2000</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/christopher-nolan/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/christopher-nolan/
66) Return Of The Jedi,<strong>1983</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/star-wars-episode-phantom-menace-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/star-wars-episode-phantom-menace-review/
65) Avengers Assemble,<strong>2012</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/joss-whedon/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/joss-whedon/
64) L.A. Confidential,<strong>1997</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/curtis-hanson/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/curtis-hanson/
63) Donnie Darko,<strong>2001</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/richard-kelly/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/richard-kelly/
62) La La Land,<strong>2016</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/damien-chazelle/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/damien-chazelle/
61) Forrest Gump,<strong>1994</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/robert-zemeckis/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/robert-zemeckis/
60) American Beauty,<strong>1999</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sam-mendes/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sam-mendes/
59) E.T. â The Extra Terrestrial,<strong>1982</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/et-extra-terrestrial-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/et-extra-terrestrial-review/
58) Inglourious Basterds,<strong>2009</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sergio-leone/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sergio-leone/
57) Whiplash,<strong>2014</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/damien-chazelle/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/damien-chazelle/
56) Reservoir Dogs,<strong>1992</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/quentin-tarantino/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/quentin-tarantino/
55) Pan's Labyrinth,<strong>2006</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/guillermo-del-toro/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/guillermo-del-toro/
54) Vertigo,<strong>1958</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/james-stewart/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/james-stewart/
53) Psycho,<strong>1960</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/psycho-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/psycho-review/
52) Once Upon A Time In The West,<strong>1968</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sergio-leone/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sergio-leone/
51) It's A Wonderful Life,<strong>1946</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/frank-capra/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/frank-capra/
50) Lawrence Of Arabia,<strong>1962</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/david-lean/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/david-lean/
49) Trainspotting,<strong>1996</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/shallow-grave-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/shallow-grave-review/
48) The Silence Of The Lambs,<strong>1991</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/jonathan-demme/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/jonathan-demme/
47) Interstellar,<strong>2014</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/christopher-nolan/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/christopher-nolan/
46) Citizen Kane,<strong>1941</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/orson-welles/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/orson-welles/
45) Drive,<strong>2011</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/nicolas-winding-refn/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/nicolas-winding-refn/
44) Gladiator,<strong>2000</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/ridley-scott/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/ridley-scott/
43) One Flew Over The Cuckoo's Nest,<strong>1975</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/milos-forman/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/milos-forman/
42) There Will Be Blood,<strong>2007</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/daniel-day-lewis/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/daniel-day-lewis/
41) Eternal Sunshine Of The Spotless Mind,<strong>2004</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/michel-gondry/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/michel-gondry/
40) 12 Angry Men,<strong>1957</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sidney-lumet/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sidney-lumet/
39) Saving Private Ryan,<strong>1998</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/saving-private-ryan-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/saving-private-ryan-review/
38) Mad Max: Fury Road,<strong>2015</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/george-miller/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/george-miller/
37) The Thing,<strong>1982</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/john-carpenter/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/john-carpenter/
36) The Departed,<strong>2006</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/martin-scorsese/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/martin-scorsese/
35) The Shining,<strong>1980</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/stanley-kubrick/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/stanley-kubrick/
34) Guardians Of The Galaxy,<strong>2014</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/michael-rooker/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/michael-rooker/
33) Schindler's List,<strong>1993</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/schindler-list-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/schindler-list-review/
32) The Usual Suspects,<strong>1995</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/kevin-spacey/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/kevin-spacey/
31) Taxi Driver,<strong>1976</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/martin-scorsese/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/martin-scorsese/
30) Seven,<strong>1995</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/david-fincher/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/david-fincher/
29) The Big Lebowski,<strong>1998</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/big-lebowski-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/big-lebowski-review/
